Numero de documentos (tweets) del corpus: 15398
Número de palabras del corpus: 201014

Palabra: abandon Frec: 4 LogProb: -10.72111529020018
Palabra: abandoned Frec: 6 LogProb: -10.384643053578966
Palabra: ability Frec: 12 LogProb: -9.765603845172743
Palabra: able Frec: 144 LogProb: -7.353819460213705
Palabra: abroad Frec: 6 LogProb: -10.384643053578966
Palabra: absence Frec: 5 LogProb: -10.538793733406225
Palabra: absent Frec: 5 LogProb: -10.538793733406225
Palabra: absolute Frec: 26 LogProb: -9.03471633662995
Palabra: absolutely Frec: 58 LogProb: -8.253015758728559
Palabra: absurd Frec: 10 LogProb: -9.932657929835909
Palabra: abt Frec: 7 LogProb: -10.251111660954443
Palabra: abuse Frec: 27 LogProb: -8.998348692459075
Palabra: abused Frec: 12 LogProb: -9.765603845172743
Palabra: abuses Frec: 4 LogProb: -10.72111529020018
Palabra: abusing Frec: 10 LogProb: -9.932657929835909
Palabra: abusive Frec: 6 LogProb: -10.384643053578966
Palabra: accelerate Frec: 10 LogProb: -9.932657929835909
Palabra: accelerated Frec: 10 LogProb: -9.932657929835909
Palabra: accelerating Frec: 5 LogProb: -10.538793733406225
Palabra: accept Frec: 11 LogProb: -9.84564655284628
Palabra: accepted Frec: 4 LogProb: -10.72111529020018
Palabra: accepting Frec: 5 LogProb: -10.538793733406225
Palabra: access Frec: 119 LogProb: -7.543061459852233
Palabra: accessible Frec: 5 LogProb: -10.538793733406225
Palabra: accident Frec: 5 LogProb: -10.538793733406225
Palabra: accidentally Frec: 4 LogProb: -10.72111529020018
Palabra: accommodation Frec: 6 LogProb: -10.384643053578966
Palabra: according Frec: 49 LogProb: -8.418530197206133
Palabra: account Frec: 32 LogProb: -8.8340456411678
Palabra: accountable Frec: 4 LogProb: -10.72111529020018
Palabra: accounts Frec: 19 LogProb: -9.334820929080289
Palabra: accurate Frec: 8 LogProb: -10.13332862529806
Palabra: accusations Frec: 4 LogProb: -10.72111529020018
Palabra: accused Frec: 27 LogProb: -8.998348692459075
Palabra: achieve Frec: 8 LogProb: -10.13332862529806
Palabra: acknowledge Frec: 5 LogProb: -10.538793733406225
Palabra: act Frec: 32 LogProb: -8.8340456411678
Palabra: acted Frec: 10 LogProb: -9.932657929835909
Palabra: acting Frec: 23 LogProb: -9.152499372286334
Palabra: action Frec: 68 LogProb: -8.09644669803702
Palabra: actions Frec: 33 LogProb: -8.804192678018119
Palabra: actively Frec: 9 LogProb: -10.027968109640234
Palabra: activist Frec: 6 LogProb: -10.384643053578966
Palabra: activities Frec: 22 LogProb: -9.19505898670513
Palabra: activity Frec: 42 LogProb: -8.569353086940717
Palabra: actors Frec: 8 LogProb: -10.13332862529806
Palabra: acts Frec: 7 LogProb: -10.251111660954443
Palabra: actual Frec: 27 LogProb: -8.998348692459075
Palabra: actually Frec: 105 LogProb: -7.667114108522212
Palabra: acute Frec: 6 LogProb: -10.384643053578966
Palabra: ad Frec: 10 LogProb: -9.932657929835909
Palabra: adapt Frec: 16 LogProb: -9.497339858578062
Palabra: adapting Frec: 7 LogProb: -10.251111660954443
Palabra: add Frec: 34 LogProb: -8.775205141144866
Palabra: added Frec: 24 LogProb: -9.111677377766078
Palabra: addiction Frec: 6 LogProb: -10.384643053578966
Palabra: adding Frec: 22 LogProb: -9.19505898670513
Palabra: addition Frec: 13 LogProb: -9.69149587301902
Palabra: additional Frec: 34 LogProb: -8.775205141144866
Palabra: address Frec: 34 LogProb: -8.775205141144866
Palabra: addressed Frec: 5 LogProb: -10.538793733406225
Palabra: addresses Frec: 4 LogProb: -10.72111529020018
Palabra: addressing Frec: 4 LogProb: -10.72111529020018
Palabra: adds Frec: 7 LogProb: -10.251111660954443
Palabra: adequate Frec: 5 LogProb: -10.538793733406225
Palabra: adhere Frec: 6 LogProb: -10.384643053578966
Palabra: adjust Frec: 10 LogProb: -9.932657929835909
Palabra: adjusted Frec: 5 LogProb: -10.538793733406225
Palabra: adjusting Frec: 5 LogProb: -10.538793733406225
Palabra: administration Frec: 16 LogProb: -9.497339858578062
Palabra: admit Frec: 7 LogProb: -10.251111660954443
Palabra: adoption Frec: 5 LogProb: -10.538793733406225
Palabra: adoting Frec: 6 LogProb: -10.384643053578966
Palabra: ads Frec: 22 LogProb: -9.19505898670513
Palabra: adult Frec: 9 LogProb: -10.027968109640234
Palabra: adults Frec: 16 LogProb: -9.497339858578062
Palabra: advance Frec: 9 LogProb: -10.027968109640234
Palabra: advantage Frec: 124 LogProb: -7.502239465331978
Palabra: adverse Frec: 4 LogProb: -10.72111529020018
Palabra: adversely Frec: 5 LogProb: -10.538793733406225
Palabra: advertise Frec: 5 LogProb: -10.538793733406225
Palabra: advertising Frec: 18 LogProb: -9.386114223467839
Palabra: advice Frec: 71 LogProb: -8.053887083618225
Palabra: advise Frec: 10 LogProb: -9.932657929835909
