Numero de documentos (tweets) del corpus: 18046
Número de palabras del corpus: 235132

Palabra: abide Frec: 4 LogProb: -10.861419143569359
Palabra: ability Frec: 34 LogProb: -8.915508994514045
Palabra: able Frec: 211 LogProb: -7.114270781331446
Palabra: abroad Frec: 5 LogProb: -10.679097586775404
Palabra: absolute Frec: 19 LogProb: -9.475124782449468
Palabra: absolutely Frec: 29 LogProb: -9.069659674341302
Palabra: absurd Frec: 4 LogProb: -10.861419143569359
Palabra: abt Frec: 10 LogProb: -10.072961783205088
Palabra: abundant Frec: 5 LogProb: -10.679097586775404
Palabra: abuse Frec: 8 LogProb: -10.273632478667238
Palabra: abused Frec: 6 LogProb: -10.524946906948145
Palabra: academic Frec: 5 LogProb: -10.679097586775404
Palabra: acc Frec: 4 LogProb: -10.861419143569359
Palabra: accelerate Frec: 17 LogProb: -9.580485298107295
Palabra: accelerating Frec: 7 LogProb: -10.391415514323622
Palabra: accept Frec: 26 LogProb: -9.17502018999913
Palabra: acceptable Frec: 12 LogProb: -9.905907698541922
Palabra: acceptance Frec: 6 LogProb: -10.524946906948145
Palabra: accepted Frec: 5 LogProb: -10.679097586775404
Palabra: accepting Frec: 20 LogProb: -9.426334618280036
Palabra: access Frec: 162 LogProb: -7.377106855196696
Palabra: accessible Frec: 10 LogProb: -10.072961783205088
Palabra: accessing Frec: 7 LogProb: -10.391415514323622
Palabra: accessories Frec: 4 LogProb: -10.861419143569359
Palabra: accommodate Frec: 7 LogProb: -10.391415514323622
Palabra: accommodation Frec: 4 LogProb: -10.861419143569359
Palabra: according Frec: 62 LogProb: -8.327722329611927
Palabra: accordingly Frec: 4 LogProb: -10.861419143569359
Palabra: account Frec: 44 LogProb: -8.664194566233139
Palabra: accountability Frec: 4 LogProb: -10.861419143569359
Palabra: accounts Frec: 18 LogProb: -9.526418076837018
Palabra: accuracy Frec: 4 LogProb: -10.861419143569359
Palabra: accurate Frec: 9 LogProb: -10.168271963009413
Palabra: achieve Frec: 11 LogProb: -9.985950406215458
Palabra: acquired Frec: 8 LogProb: -10.273632478667238
Palabra: acquiring Frec: 4 LogProb: -10.861419143569359
Palabra: act Frec: 45 LogProb: -8.642215659514363
Palabra: acted Frec: 4 LogProb: -10.861419143569359
Palabra: acting Frec: 20 LogProb: -9.426334618280036
Palabra: action Frec: 77 LogProb: -8.114148229313866
Palabra: actions Frec: 24 LogProb: -9.251981231135257
Palabra: activated Frec: 5 LogProb: -10.679097586775404
Palabra: active Frec: 24 LogProb: -9.251981231135257
Palabra: actively Frec: 17 LogProb: -9.580485298107295
Palabra: activities Frec: 22 LogProb: -9.335362840074309
Palabra: activity Frec: 43 LogProb: -8.686667422085197
Palabra: actors Frec: 17 LogProb: -9.580485298107295
Palabra: actress Frec: 8 LogProb: -10.273632478667238
Palabra: acts Frec: 12 LogProb: -9.905907698541922
Palabra: actual Frec: 17 LogProb: -9.580485298107295
Palabra: actually Frec: 96 LogProb: -7.896146077500076
Palabra: ad Frec: 24 LogProb: -9.251981231135257
Palabra: adapt Frec: 30 LogProb: -9.036869851518311
Palabra: adaptation Frec: 4 LogProb: -10.861419143569359
Palabra: adapting Frec: 17 LogProb: -9.580485298107295
Palabra: add Frec: 50 LogProb: -8.539031423279132
Palabra: added Frec: 34 LogProb: -8.915508994514045
Palabra: addiction Frec: 6 LogProb: -10.524946906948145
Palabra: adding Frec: 23 LogProb: -9.292803225655513
Palabra: addition Frec: 24 LogProb: -9.251981231135257
Palabra: additional Frec: 40 LogProb: -8.757284989299151
Palabra: address Frec: 40 LogProb: -8.757284989299151
Palabra: addressed Frec: 4 LogProb: -10.861419143569359
Palabra: addressing Frec: 7 LogProb: -10.391415514323622
Palabra: adds Frec: 4 LogProb: -10.861419143569359
Palabra: adequate Frec: 21 LogProb: -9.379814602645142
